Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number ,From Last,Same As Day,Odd,Even, 1-10, 11-20, 21-30, 31-40, 41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
19/056,2019-05-21,4,7,21,24,35,41,18,41,21,4,2,2,0,2,1,1,0.00,0,0.50,2342320,75.00,83280,164.00,9600,4084.50,640,5155.30,320,78513.50,40,48404885
19/055,2019-05-19,1,2,9,16,30,41,35,1,,3,3,3,1,1,0,1,0.00,0,3.00,683700,92.00,59450,148.00,9600,4452.90,640,3961.40,320,80551.50,40,44049784
19/054,2019-05-16,1,4,7,23,37,38,34,37,,4,2,3,0,1,2,0,0.00,0,2.00,748490,123.50,32320,165.50,9600,4638.90,640,4232.70,320,74802.00,40,36798568
19/053,2019-05-14,10,12,14,30,37,41,5,,14,2,4,1,2,1,1,1,1.00,72889260,9.00,635210,193.00,78990,471.00,9600,9663.70,640,14525.90,320,181516.30,40,119440093
19/052,2019-05-09,3,4,5,24,29,32,2,,,3,3,3,0,2,1,0,0.00,0,3.50,911520,138.00,61640,510.90,9600,7705.40,640,15768.40,320,139392.00,40,81166924
19/051,2019-05-07,6,12,35,39,42,44,22,"6,35",,2,4,1,1,0,2,2,0.00,0,1.50,2489190,78.50,126830,253.00,9600,4550.70,640,8045.70,320,92997.20,40,72202961
19/050,2019-05-04,6,13,19,20,24,35,43,"6,19",,3,3,1,3,1,1,0,0.00,0,0.00,0,69.50,107020,186.00,9600,4882.00,640,5196.70,320,88574.50,40,56573717
19/049,2019-05-02,1,6,19,23,45,47,49,"1,45",,5,1,2,1,1,0,2,0.00,0,5.00,473000,68.50,92060,248.50,9600,4017.00,640,7372.50,320,79589.50,40,51528504
19/048,2019-04-30,1,29,32,43,45,49,5,32,,5,1,1,0,1,1,3,0.00,0,2.50,931580,59.00,105260,177.50,9600,4353.00,640,5628.50,320,80668.10,40,49221733
19/047,2019-04-27,2,8,14,21,32,35,4,21,,2,4,2,1,1,2,0,0.00,0,0.00,0,41.50,110980,146.80,9600,2879.00,640,4550.60,320,56352.00,40,36325619
19/046,2019-04-25,11,13,18,21,28,34,19,28,,3,3,0,3,2,1,0,1.50,50106390,6.50,979980,262.00,64830,667.00,9600,13334.90,640,18604.80,320,241892.00,40,143023921
19/045,2019-04-20,28,30,32,37,39,47,23,"30,32",,3,3,0,0,2,3,1,0.50,112099610,7.50,1382780,283.00,97720,846.00,9600,15257.70,640,23845.20,320,291002.80,40,209508461
19/044,2019-04-16,11,20,30,32,33,43,34,,,3,3,0,2,1,2,1,0.00,0,6.00,1165930,220.00,84790,659.50,9600,13852.70,640,19779.10,320,248635.20,40,153188091
19/043,2019-04-13,3,15,22,35,40,49,39,,,4,2,1,1,1,2,1,0.00,0,0.00,0,75.50,88150,280.50,9600,4173.10,640,7483.30,320,81117.00,40,54237186
19/042,2019-04-11,6,18,32,38,41,45,33,32,,2,4,1,1,0,2,2,0.00,0,3.50,723070,60.50,111540,203.90,9600,3979.00,640,6132.50,320,71949.70,40,51638562
19/041,2019-04-09,3,14,17,23,32,43,36,,,4,2,1,2,1,1,1,0.00,0,2.50,875720,125.50,46510,248.00,9600,5038.20,640,5741.00,320,85146.60,40,49790907
19/040,2019-04-06,8,21,34,37,41,45,49,34,,4,2,1,0,1,2,2,0.00,0,0.50,2073190,48.50,113990,116.50,9600,2495.40,640,3621.00,320,49436.90,40,38962780
19/039,2019-04-04,29,34,38,42,44,47,36,,,2,4,0,0,1,2,3,0.00,0,1.00,1855930,40.50,122200,132.00,9600,2270.00,640,3693.90,320,45870.20,40,35802711
19/038,2019-04-02,6,10,15,21,24,28,49,15,,2,4,2,1,3,0,0,2.00,18427630,1.00,2278240,142.50,53290,232.00,9600,6290.20,640,6516.00,320,108683.90,40,62126741
19/037,2019-03-30,15,17,18,37,39,49,31,17,,5,1,0,3,0,2,1,0.00,0,1.00,2414840,75.00,85860,182.00,9600,3551.40,640,4426.40,320,68127.20,40,47875528
19/036,2019-03-28,3,5,17,23,41,44,40,3,,5,1,2,1,1,0,2,0.00,0,3.00,792220,63.00,100600,137.50,9600,3446.00,640,4301.40,320,70721.10,40,46559924
